Entry,t0,t4,t8,t12,t16,t20,t24
DDB_G0286239,171.45,34.55,31.6,42.9,37.32,34.21,33.98
DDB_G0280819,21.95,3.62,3.97,8.44,10.19,6.95,5.81
DDB_G0276947,3.45,1.41,0.62,1.23,0.99,2.97,1.53
DDB_G0287469,1333.45,102.93,239.92,279.69,171.57,222.48,230.65
DDB_G0292602,17.68,5.06,3.15,3.83,3.54,6.4,4.15
DDB_G0286399,7.59,2.08,1.35,2.92,2.61,1.53,1.56
DDB_G0281219,397.08,45,69.82,39.55,29.49,32.54,23.44
DDB_G0271848,1460.01,522.12,252.86,127.68,68.12,77.49,77.89
DDB_G0278779,529.79,615.43,91.11,62.36,96.89,106.89,158.85
DDB_G0293904,20.38,4.13,3.47,3.73,2.55,2.93,2.09
DDB_G0293298,160.81,27.12,27,36.76,124.08,232.55,252.21
DDB_G0280913,1,0.45,0.16,0.41,0.51,0.79,0.48
DDB_G0279911,610.83,613.36,99.37,71.13,36.6,47.38,52.59
DDB_G0281291,45.56,19.74,7.19,10.28,14.46,11.42,14.06
DDB_G0269046,72.72,113.97,10.99,14.35,8.76,10.9,13.57
DDB_G0270556,3.43,0.39,0.52,1.48,3.35,4.36,3.06
DDB_G0272210,253.93,157.55,37.75,37.38,17.98,18.78,19.61
DDB_G0283271,29.89,12.81,4.4,3.3,2.35,4.14,4.02
DDB_G0293646,589.17,128.64,83.29,88.62,40.56,82.63,126
DDB_G0267592,37.86,3.59,5.34,14.98,9.36,13.22,8.93
DDB_G0273069,6488.54,1800.87,893.72,843.2,1089.83,1808.48,1309.73
DDB_G0287215,4.03,0.46,0.53,0.84,1.3,1.21,1.43
DDB_G0283847,12.73,2.89,1.61,3.76,3.56,4.3,4.51
DDB_G0295681,183.03,16.5,22.83,35.69,27.44,11.7,12.19
DDB_G0288831,113.97,16.64,13.91,20.2,16.65,12.13,20.97
DDB_G0289593,252.91,44.54,29.78,24.23,14.61,18.12,20.77
DDB_G0291281,51.9,25.14,6.06,4.41,5.25,4.97,4.13
DDB_G0278571,699.15,131.12,81.3,51.04,68.01,200.53,269.89
DDB_G0293556,48.33,4.85,5.58,4.1,2.17,2.87,9.77
DDB_G0267712,68.03,32.12,7.3,12.27,4.79,7.82,7.5
DDB_G0275831,24.06,5.4,2.55,3.8,1.63,2.06,0.59
DDB_G0271344,168.58,24.36,17.22,17.35,16.83,14.75,16.45
DDB_G0276039,20.18,3.25,2.06,3.63,2.99,3.27,2.12
DDB_G0269916,1528.95,1362.41,154.89,103.79,68.81,65.96,137.79
DDB_G0275537,514.12,64.54,51.68,71.1,46.67,53.3,62.31
DDB_G0275049,244.13,46.69,24.44,34.23,21.12,28.22,28.23
DDB_G0283329,46.1,13.42,4.33,4.43,3.66,2.75,4.22
DDB_G0272787,10.64,1.37,0.99,0.62,0.66,1.05,0.61
DDB_G0272636,17.73,2.5,1.63,2.22,2.07,1.64,2.09
DDB_G0269812,9.61,2.24,0.86,0.77,1.13,0.69,0.1
DDB_G0278805,21.06,6.5,1.83,3.72,8.88,56.24,23.32
DDB_G0271790,88.81,10.31,6.98,10.42,4.22,3.28,3.21
DDB_G0287335,94.69,9.07,7.05,22.32,6.84,8.59,9.27
DDB_G0276899,183.69,15.09,13.33,9.24,6.46,3.4,2.36
DDB_G0269226,66.49,5.47,4.75,5.56,4.35,10.87,6.55
DDB_G0282141,8002.24,813.17,562.19,585.01,345.65,347.38,368.8
DDB_G0282267,23.99,26.27,1.65,4.9,2,4.41,2.23
DDB_G0291988,341.32,212.26,23.35,23.26,8.53,13.72,12.25
DDB_G0281437,143.87,38.35,9.8,15.42,10.13,22.55,46.77
DDB_G0267454,6639.41,1424.32,422.83,568.16,327.03,286.48,284.55
DDB_G0293872,356.1,27.74,22.5,28.9,19,21.42,24.28
DDB_G0291828,18.29,2.77,1.13,5.04,4.72,2.66,3.52
DDB_G0288101,785.52,458.26,48.47,57.15,35.86,42.1,97.5
DDB_G0293558,2224.9,883.31,136.71,160.84,102.89,171.06,464.12
DDB_G0286637,216.19,11.71,13.21,23.5,31.11,53.59,64.79
